 Place Overall, Place Gender, Place Category, Name , BIB, Category, HALF, Finish time, 
2,2,2,"Mutai, Emmanuel (KEN)",7,18-39,01:03:06,02:06:23,
3,3,3,"Gharib, Jaouad (MAR)",6,18-39,01:03:07,02:06:55,
4,4,4,"Bouramdane, Abderrahime (MAR)",9,18-39,01:03:07,02:07:33,
5,5,5,"Kirui, Abel (KEN)",3,18-39,01:03:06,02:08:04,
6,6,6,"Gomes dos Santos, Marilson (BRA)",10,18-39,01:03:07,02:08:46,
7,7,7,"Tadese, Zersenay (ERI)",16,18-39,01:03:07,02:12:03,
8,8,8,"Lemoncello, Andrew (GBR)",17,18-39,01:05:27,02:13:40,
9,9,9,"Kifle, Yonas (ERI)",8,18-39,01:03:06,02:14:39,
10,10,10,"Jones, Andi (GBR)",21,18-39,01:05:45,02:16:38,
11,11,11,"Moreau, Ben (GBR)",30,18-39,01:07:49,02:16:46,
12,12,12,"Merrien, Lee (GBR)",38,18-39,01:07:50,02:16:48,
13,13,13,"Perrett, Clint (AUS)",37,18-39,01:07:14,02:18:15,
14,14,14,"Renault, Neil (GBR)",28,18-39,01:07:50,02:18:29,
15,15,15,"Norman, Dave (GBR)",24,18-39,01:08:52,02:19:05,
16,16,16,"Irifune, Satoshi (JPN)",12,18-39,01:03:30,02:19:25,
17,17,17,"Way, Steven (GBR)",34,18-39,01:08:52,02:19:38,
18,18,18,"Raven, Gareth (GBR)",27,18-39,01:09:13,02:19:55,
19,19,19,"Osterlund, Kristoffer (SWE)",56130,18-39,01:08:45,02:20:06,
20,20,20,"Vermeesch, Pieter (GBR)",872,18-39,01:08:52,02:20:16,
21,21,21,"Martelletti, Paul (NZL)",40,18-39,01:09:05,02:21:02,
22,22,22,"Connor, James (GBR)",897,18-39,01:09:12,02:21:04,
23,23,23,"Matsumiya, Takayuki (JPN)",13,18-39,01:03:11,02:21:34,
24,24,24,"Houston, Ross D (GBR)",819,18-39,01:10:50,02:22:49,
25,25,25,"Carroll, Michael J (GBR)",705,18-39,01:10:23,02:22:52,
26,26,26,"Green, Michael (GBR)",23,18-39,01:08:36,02:23:48,
27,27,27,"Desplanques, Frederic (FRA)",56743,18-39,01:10:47,02:23:49,
28,28,28,"Wilder, Brian J (GBR)",511,18-39,01:09:22,02:24:18,
29,29,29,"Wardle, David (GBR)",35,18-39,01:08:52,02:24:21,
30,30,1,"Bilton, Darran E (GBR)",945,40-44,01:11:24,02:25:08,
31,31,30,"Edwards, Orlando (GBR)",977,18-39,01:10:50,02:25:15,
32,32,31,"Gamble, Ben P (GBR)",886,18-39,01:11:49,02:25:17,
33,33,32,"Lennox, Jethro  (GBR)",733,18-39,01:10:50,02:25:51,
34,34,33,"Kjaell - Ohlsson, Martin (SWE)",57278,18-39,01:10:17,02:26:00,
35,35,2,"Cope, Nicholas (GBR)",544,40-44,01:10:33,02:26:18,
36,36,34,"Stirk, Nigel A (GBR)",965,18-39,01:10:53,02:26:46,
37,37,35,"Baker, Robert J (GBR)",842,18-39,01:14:03,02:26:58,
38,38,36,"Nowill, Peter (AUS)",18,18-39,01:07:23,02:27:16,
39,39,37,"Marchant, Paul A (GBR)",833,18-39,01:12:58,02:27:20,
40,40,38,"Gilbert, John J (GBR)",802,18-39,01:12:31,02:27:27,
41,41,39,"Williams, Ian G (GBR)",800,18-39,01:10:08,02:27:37,
42,42,3,"Vautier, Stephane (FRA)",55613,40-44,01:11:56,02:27:53,
43,43,40,"Killingley, Phil S (GBR)",954,18-39,01:13:19,02:28:06,
44,44,41,"Kay, Richard A (GBR)",856,18-39,01:12:57,02:28:34,
45,45,42,"MCFARLANE, JOHN (GBR)",515,18-39,01:12:47,02:28:38,
46,46,43,"Bell, Matthew J (GBR)",974,18-39,01:12:57,02:28:39,
47,47,44,"Dickinson, Mark (GBR)",600,18-39,01:14:03,02:28:46,
48,48,45,"Greenleaf, Andrew H (GBR)",672,18-39,01:13:31,02:28:51,
49,49,46,"Keal, Robert J (GBR)",839,18-39,01:12:57,02:28:58,
50,50,47,"Tucker, Peter R (GBR)",999,18-39,01:11:36,02:29:27,
51,51,48,"Breen, Graham J (GBR)",632,18-39,01:14:04,02:29:28,
52,52,49,"Mock, Justin (USA)",54577,18-39,01:14:14,02:29:29,
53,53,4,"Weir, Andrew P (GBR)",889,40-44,01:14:04,02:29:30,
54,54,50,"Blunden, Matthew J (GBR)",775,18-39,01:15:09,02:29:38,
55,55,51,"Sengers, Harm (NED)",56437,18-39,01:11:56,02:29:38,
56,56,52,"Hoole, Philip A (GBR)",578,18-39,01:11:47,02:29:48,
57,57,53,"Milne, Ross (GBR)",896,18-39,01:13:53,02:29:48,
58,58,54,"Halman, Michael P (GBR)",674,18-39,01:13:46,02:29:50,
59,59,55,"Smith, Chris (GBR)",817,18-39,01:14:04,02:29:56,
